"","initial_accuracy","final_accuracy","expected_accuracy","k","N"
"644",0.7,0.9,0.65,19,20
"645",0.8,0.95,0.7,19,20
"646",0.8,0.95,0.75,19,20
"647",0.55,0.85,0.8,19,20
"648",0.85,1,0.85,19,20
"649",0.85,0.9,0.9,19,20
"650",1,0.95,0.95,19,20
"651",1,1,1,19,20
"652",0,0,0,19,20
"653",0.1,0.1,0.05,19,20
"654",0,0.05,0.1,19,20
"655",0.15,0,0.15,19,20
"656",0.1,0.05,0.2,19,20
"657",0.3,0.05,0.25,19,20
"658",0.2,0,0.3,19,20
"659",0.45,0.1,0.35,19,20
"660",0.55,0.95,0.4,19,20
"661",0.6,0.95,0.45,19,20
"662",0.45,0.1,0.5,19,20
"663",0.6,0.95,0.55,19,20
"664",0.5,0.25,0.6,19,20
"665",0.65,0.9,0.65,19,20
"666",0.7,0.85,0.7,19,20
"667",0.75,1,0.75,19,20
"668",0.9,0.8,0.8,19,20
"669",0.85,1,0.85,19,20
"670",1,1,0.9,19,20
"671",0.85,1,0.95,19,20
"672",1,0.85,1,19,20
"673",0,0.1,0,19,20
"674",0.15,0,0.05,19,20
"675",0.1,0.35,0.1,19,20
"676",0.2,0.1,0.15,19,20
"677",0.3,0.05,0.2,19,20
"678",0.3,0.05,0.25,19,20
"679",0.25,0.1,0.3,19,20
"680",0.4,0.35,0.35,19,20
"681",0.55,1,0.4,19,20
"682",0.3,0.05,0.45,19,20
"683",0.45,0.1,0.5,19,20
"684",0.4,0.15,0.55,19,20
"685",0.55,0.75,0.6,19,20
"686",0.6,1,0.65,19,20
"687",0.7,0.95,0.7,19,20
"688",0.6,0.85,0.75,19,20
"689",0.9,0.9,0.8,19,20
"690",0.8,1,0.85,19,20
"691",0.95,0.85,0.9,19,20
"692",1,1,0.95,19,20
"693",1,0.95,1,19,20
"694",0,0,0,19,20
"695",0,0,0.05,19,20
"696",0.1,0,0.1,19,20
"697",0.2,0.15,0.15,19,20
"698",0.1,0.15,0.2,19,20
"699",0.1,0.05,0.25,19,20
"700",0.15,0.1,0.3,19,20
"701",0.35,0.2,0.35,19,20
"702",0.5,0.2,0.4,19,20
"703",0.65,0.9,0.45,19,20
"704",0.35,0.15,0.5,19,20
"705",0.55,0.75,0.55,19,20
"706",0.65,1,0.6,19,20
"707",0.7,0.9,0.65,19,20
"708",0.55,0.6,0.7,19,20
"709",0.65,0.85,0.75,19,20
"710",0.75,0.8,0.8,19,20
"711",0.95,1,0.85,19,20
"712",0.85,0.85,0.9,19,20
"713",1,0.95,0.95,19,20
"714",1,0.95,1,19,20
"715",0,0.05,0,19,20
"716",0,0,0.05,19,20
"717",0.2,0.1,0.1,19,20
"718",0.05,0,0.15,19,20
"719",0.1,0,0.2,19,20
"720",0.3,0.05,0.25,19,20
"721",0.3,0.1,0.3,19,20
"722",0.25,0.05,0.35,19,20
"723",0.4,0.05,0.4,19,20
"724",0.4,0.05,0.45,19,20
"725",0.3,0.05,0.5,19,20
"726",0.6,0.85,0.55,19,20
"727",0.65,0.85,0.6,19,20
"728",0.6,0.9,0.65,19,20
"729",0.85,1,0.7,19,20
"730",0.7,0.95,0.75,19,20
"731",0.95,0.95,0.8,19,20
"732",0.95,0.95,0.85,19,20
"733",1,1,0.9,19,20
"734",0.95,0.95,0.95,19,20
"735",1,0.9,1,19,20
"736",0,0,0,19,20
"737",0.05,0,0.05,19,20
"738",0.25,0.1,0.1,19,20
"739",0.15,0.05,0.15,19,20
"740",0.25,0,0.2,19,20
"741",0.35,0.1,0.25,19,20
"742",0.3,0,0.3,19,20
"743",0.3,0.05,0.35,19,20
"744",0.45,0.5,0.4,19,20
"745",0.55,0.75,0.45,19,20
"746",0.2,0.1,0.5,19,20
"747",0.5,0.4,0.55,19,20
"748",0.45,0.6,0.6,19,20
"749",0.55,0.7,0.65,19,20
"750",0.45,0.7,0.7,19,20
"751",0.8,1,0.75,19,20
"752",0.8,0.95,0.8,19,20
"753",0.65,1,0.85,19,20
"754",0.95,0.95,0.9,19,20
"755",0.95,1,0.95,19,20
"756",1,0.95,1,19,20
"757",0,0.1,0,19,20
"758",0.05,0.1,0.05,19,20
